,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Buchanan,Jesup,0,0.0,0.0,0.6842,0,0.0,0.2737,0,0.2737,0.0,0.0,0.2737,0.0,0.0
Buchanan,Middlefield-Newton,0,0.1368,0.0,0.1368,0,0.0,0.1368,0,0.0,0.0,0.0,0.0,0.0,0.0
Buchanan,Perry-Westburg,0,0.2737,0.0,0.2737,0,0.0,0.1368,0,0.0,0.0,0.1368,0.0,0.0,0.0
Buchanan,Quasqueton,0,0.1368,0.0,0.0,0,0.0,0.2737,0,0.1368,0.0,0.1368,0.1368,0.0,0.0
Buchanan,Rowley,0,0.1368,0.0,0.2737,0,0.0,0.1368,0,0.1368,0.0,0.0,0.0,0.0,0.0
Buchanan,Winthrop,0,0.2737,0.0,0.5474,0,0.0,0.1368,0,0.0,0.0,0.0,0.0,0.0,0.0
Buena Vista,ALTA NOKOMIS ELK,0,0.4,0.0,0.0,0,0.0,0.0,0,0.4,0.0,0.0,0.2,0.0,0.0
Buena Vista,LAKESIDE HAYES MAPLE VALLEY,0,0.2,0.0,0.0,0,0.0,0.2,0,0.0,0.0,0.0,0.2,0.0,0.0
Buena Vista,NEWELL NEWELL PROVIDENCE,0,0.0,0.0,0.2,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Buena Vista,SRL;LGB;RELS;MAP,0,0.2,0.0,0.2,0,0.0,0.0,0,0.2,0.2,0.2,0.0,0.0,0.0
Buena Vista,STORM LAKE 01,0,0.0,0.0,0.4,0,0.0,0.0,0,0.4,0.0,0.4,0.2,0.0,0.0
Buena Vista,STORM LAKE 02,0,0.2,0.0,0.0,0,0.0,0.0,0,0.4,0.0,0.2,0.0,0.0,0.0
